地名,センター,燃焼ゴミ,資源ゴミ,大型複雑ゴミ,小型複雑ゴミ,有害危険ゴミ
南金田１～２丁目,ごみ収集,水 土,木2 木4,木3,木1
南正雀１～５丁目,ごみ収集,火 金,月1 月3,月4,月2
南吹田１～２丁目,ごみ収集,水 土,木1 木3,木4,木2
南吹田3丁目,ごみ収集,水 土,木2 木4,木3,木1
南吹田４～５丁目,ごみ収集,水 土,木1 木3,木4,木2
南清和園町,ごみ収集,水 土,火2 火4,火3,火1
南高浜町,ごみ収集,月 木,金2 金4,金3,金1
元町,ごみ収集,月 木,水1 水3,水4,水2
桃山台,ごみ収集,火 金,水2 水4,水1,水3
山手町１丁目,ごみ収集,火 金,土1 土3,土4,土2
山手町２丁目,ごみ収集,火 金,土1 土3,土2,土4
山手町３丁目,ごみ収集,火 金,土2 土4,土3,土1
山手町４丁目,ごみ収集,火 金,土1 土3,土4,土2
山田東１丁目,ごみ収集,水 土,木2 木4,木3,木1
山田東２～３丁目,ごみ収集,水 土,火2 火4,火3,火1
山田東４丁目,ごみ収集,水 土,火1 火3,火4,火2
山田西１丁目,ごみ収集,水 土,木1 木3,木4,木2
山田西2丁目１３～１４番,ごみ収集,水 土,木1 木3,木2,木4
山田西2丁目１３～１４番以外,ごみ収集,水 土,火2 火4,火1,火3
山田西３丁目,ごみ収集,水 土,木1 木3,木2,木4
山田西４丁目,ごみ収集,水 土,火1 火3,火2,火4
山田南,ごみ収集,月 木,水1 水3,水4,水2
山田北,ごみ収集,水 土,火1 火3,火2,火4
山田市場,ごみ収集,月 木,金1 金3,金4,金2
芳野町,ごみ収集,月 木,水2 水4,水1,水3
